"Mobility; per person, modes of travel, purposes of travel and regions"
"Travel to/from work, (non)-daily commute";"Bike";"0.14";"0.13";"0.10";"0.10";"0.18";"0.15";"0.10";"0.10";"0.14";"0.14";"0.10";"0.10";"0.13";"0.13";"0.11";"0.10";"0.12";"0.12";"0.09";"0.09";"0.12";"0.10";"0.09";"0.10";"0.68";"0.65";"0.44";"0.45";"0.91";"0.79";"0.47";"0.49";"0.67";"0.68";"0.42";"0.44";"0.61";"0.62";"0.47";"0.44";"0.52";"0.56";"0.41";"0.41";"0.56";"0.41";"0.46";"0.46";"52";"49";"36";"37";"64";"56";"36";"38";"53";"50";"36";"37";"48";"48";"42";"38";"45";"44";"32";"34";"43";"37";"35";"36";"247";"237";"160";"163";"333";"288";"170";"180";"245";"247";"152";"159";"222";"226";"172";"160";"190";"205";"150";"149";"204";"150";"167";"166"
"Travel to/from work, (non)-daily commute";"Walking";"0.02";"0.02";"0.02";"0.02";"0.03";"0.03";"0.02";"0.02";"0.02";"0.02";"0.02";"0.02";"0.02";"0.02";"0.01";"0.02";"0.02";"0.02";"0.02";"0.02";".";".";".";".";"0.06";"0.06";"0.03";"0.03";"0.11";"0.10";"0.05";"0.05";"0.06";"0.07";"0.03";"0.03";"0.04";"0.05";"0.02";"0.02";"0.03";"0.03";"0.02";"0.02";".";".";".";".";"9";"8";"6";"7";"12";"10";"7";"8";"9";"7";"7";"7";"7";"6";"5";"6";"7";"6";"6";"7";".";".";".";".";"22";"22";"11";"11";"41";"37";"20";"17";"23";"24";"11";"11";"16";"17";"8";"7";"10";"10";"6";"7";".";".";".";"."
"Professionally";"Total";"0.07";"0.11";"0.07";"0.08";"0.06";"0.09";"0.05";"0.06";"0.07";"0.10";"0.07";"0.07";"0.06";"0.11";"0.07";"0.09";"0.08";"0.12";"0.09";"0.09";"0.08";"0.13";"0.11";"0.10";"2.20";"3.27";"1.85";"1.93";"1.75";"2.57";"1.25";"1.16";"2.27";"3.14";"1.73";"1.96";"1.99";"3.34";"2.07";"2.17";"2.59";"3.90";"2.16";"2.32";"2.57";"4.12";"2.99";"2.89";"25";"39";"26";"28";"23";"34";"18";"20";"25";"37";"24";"27";"23";"38";"26";"32";"28";"45";"34";"32";"29";"48";"39";"36";"802";"1195";"677";"705";"640";"937";"456";"423";"830";"1147";"632";"715";"726";"1219";"759";"791";"947";"1423";"792";"848";"937";"1504";"1096";"1053"
"Professionally";"Passenger car (driver)";"0.04";"0.06";"0.04";"0.04";"0.03";"0.04";"0.02";"0.03";"0.04";"0.06";"0.03";"0.04";"0.04";"0.06";"0.04";"0.05";"0.04";"0.07";"0.05";"0.05";"0.05";"0.08";"0.06";"0.05";"1.40";"2.15";"1.17";"1.18";"1.05";"1.41";"0.77";"0.66";"1.61";"2.24";"1.13";"1.20";"1.16";"2.27";"1.15";"1.52";"1.61";"2.50";"1.39";"1.29";"1.56";"2.91";"2.09";"1.87";"14";"21";"14";"15";"11";"14";"9";"9";"15";"21";"13";"15";"13";"23";"14";"19";"15";"27";"19";"17";"17";"28";"24";"17";"510";"786";"429";"430";"382";"516";"280";"240";"587";"817";"415";"439";"423";"829";"421";"555";"587";"913";"508";"472";"570";"1062";"765";"681"
"Professionally";"Passenger car (passenger)";"0.00";"0.00";"0.00";"0.00";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"0.08";"0.16";"0.06";"0.09";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"1";"1";"1";"1";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"27";"57";"23";"33";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"."
"Professionally";"Train";"0.00";"0.00";"0.00";"0.00";".";"0.01";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"0.20";"0.21";"0.09";"0.07";".";"0.40";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"1";"1";"0";"0";".";"3";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"71";"76";"31";"26";".";"147";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"."
"Professionally";"Bus/metro";".";"0.00";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"0.03";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"1";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"11";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"."
"Professionally";"Bike";"0.01";"0.01";"0.01";"0.01";"0.01";"0.02";"0.01";"0.01";"0.01";"0.01";"0.01";"0.01";".";"0.01";"0.01";"0.01";"0.01";"0.01";"0.01";"0.01";".";".";".";".";"0.04";"0.05";"0.03";"0.04";"0.05";"0.09";"0.04";"0.05";"0.04";"0.04";"0.04";"0.04";".";"0.05";"0.02";"0.03";"0.04";"0.04";"0.04";"0.04";".";".";".";".";"3";"5";"3";"4";"4";"7";"3";"4";"3";"4";"3";"3";".";"4";"3";"3";"4";"3";"4";"4";".";".";".";".";"15";"19";"12";"15";"19";"32";"13";"20";"14";"15";"13";"13";".";"17";"9";"13";"14";"16";"14";"14";".";".";".";"."
"Professionally";"Walking";"0.00";"0.00";"0.00";"0.00";".";"0.01";".";"0.00";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"0.01";"0.01";"0.00";"0.01";".";"0.01";".";"0.01";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"1";"1";"1";"1";".";"2";".";"1";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"2";"3";"2";"2";".";"4";".";"2";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"."
"Services/care";"Total";"0.09";"0.09";"0.07";"0.09";"0.08";"0.09";"0.06";"0.09";"0.09";"0.09";"0.07";"0.09";"0.08";"0.09";"0.08";"0.09";"0.08";"0.08";"0.07";"0.09";"0.08";"0.08";"0.07";"0.08";"0.83";"0.73";"0.61";"0.74";"0.62";"0.68";"0.45";"0.63";"0.84";"0.68";"0.61";"0.72";"0.90";"0.67";"0.70";"0.62";"0.93";"0.82";"0.72";"0.87";"0.97";"0.95";"0.66";"1.11";"31";"31";"26";"32";"31";"33";"23";"31";"33";"33";"27";"33";"30";"32";"30";"31";"30";"28";"27";"34";"30";"29";"24";"31";"302";"267";"224";"271";"226";"249";"163";"229";"306";"250";"224";"264";"328";"246";"256";"225";"340";"297";"265";"317";"356";"345";"243";"407"
"Services/care";"Passenger car (driver)";"0.03";"0.03";"0.03";"0.04";"0.03";"0.02";"0.02";"0.03";"0.04";"0.03";"0.03";"0.04";"0.04";"0.03";"0.04";"0.04";"0.03";"0.04";"0.03";"0.05";"0.04";"0.04";"0.04";"0.04";"0.41";"0.38";"0.36";"0.42";"0.29";"0.28";"0.23";"0.25";"0.38";"0.34";"0.39";"0.44";"0.47";"0.35";"0.41";"0.33";"0.50";"0.51";"0.42";"0.57";"0.59";"0.60";"0.44";"0.64";"12";"12";"11";"13";"10";"9";"7";"9";"13";"12";"11";"13";"14";"13";"13";"13";"13";"15";"13";"17";"16";"16";"13";"16";"151";"140";"133";"153";"105";"102";"86";"91";"139";"124";"142";"161";"173";"128";"150";"120";"181";"185";"153";"209";"215";"218";"161";"232"
"Services/care";"Passenger car (passenger)";"0.01";"0.01";"0.01";"0.01";"0.01";"0.01";"0.01";"0.01";"0.01";"0.02";"0.01";"0.01";"0.01";"0.01";"0.02";"0.01";"0.02";"0.01";"0.01";"0.01";".";".";".";".";"0.20";"0.19";"0.15";"0.18";"0.07";"0.16";"0.09";"0.19";"0.21";"0.20";"0.12";"0.14";"0.23";"0.18";"0.19";"0.18";"0.27";"0.22";"0.23";"0.17";".";".";".";".";"5";"5";"4";"5";"3";"5";"3";"4";"5";"6";"4";"5";"5";"4";"6";"4";"7";"4";"5";"5";".";".";".";".";"73";"68";"56";"66";"25";"57";"32";"71";"78";"72";"43";"51";"85";"66";"71";"64";"98";"80";"86";"60";".";".";".";"."
"Services/care";"Train";"0.00";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"0.07";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"1";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"27";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"."
"Services/care";"Bus/metro";"0.00";"0.00";"0.00";"0.00";"0.01";"0.01";".";"0.00";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"0.03";"0.03";"0.01";"0.02";"0.05";"0.06";".";"0.04";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"1";"1";"1";"1";"3";"3";".";"1";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"10";"10";"4";"7";"19";"21";".";"13";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"."
"Services/care";"Bike";"0.02";"0.02";"0.02";"0.02";"0.03";"0.03";"0.02";"0.03";"0.03";"0.03";"0.02";"0.02";"0.02";"0.02";"0.02";"0.02";"0.02";"0.02";"0.01";"0.02";".";".";".";".";"0.06";"0.06";"0.05";"0.07";"0.07";"0.08";"0.05";"0.08";"0.06";"0.07";"0.05";"0.06";"0.05";"0.06";"0.05";"0.06";"0.04";"0.04";"0.04";"0.05";".";".";".";".";"8";"8";"6";"8";"9";"10";"7";"10";"9";"9";"7";"9";"7";"9";"7";"9";"7";"6";"5";"6";".";".";".";".";"21";"22";"17";"24";"27";"29";"20";"29";"23";"25";"18";"23";"18";"21";"19";"21";"16";"14";"15";"20";".";".";".";"."
"Services/care";"Walking";"0.01";"0.01";"0.01";"0.01";"0.01";"0.01";"0.01";"0.01";"0.01";"0.01";"0.01";"0.01";".";".";".";"0.01";".";".";".";"0.01";".";".";".";".";"0.01";"0.01";"0.01";"0.01";"0.02";"0.02";"0.01";"0.02";"0.01";"0.01";"0.01";"0.01";".";".";".";"0.01";".";".";".";"0.01";".";".";".";".";"3";"3";"3";"4";"4";"5";"4";"5";"3";"3";"4";"4";".";".";".";"3";".";".";".";"3";".";".";".";".";"4";"3";"3";"4";"8";"6";"5";"6";"4";"3";"4";"5";".";".";".";"3";".";".";".";"3";".";".";".";"."
"Shopping, groceries, funshopping.";"Total";"0.56";"0.54";"0.55";"0.56";"0.58";"0.55";"0.56";"0.58";"0.59";"0.57";"0.58";"0.58";"0.57";"0.56";"0.56";"0.57";"0.54";"0.52";"0.52";"0.53";"0.48";"0.47";"0.50";"0.48";"3.13";"3.13";"2.48";"2.59";"2.56";"2.37";"1.88";"2.02";"3.05";"3.01";"2.41";"2.64";"3.18";"3.63";"2.56";"2.40";"3.66";"3.59";"2.94";"3.06";"3.54";"3.70";"3.29";"3.30";"206";"199";"202";"205";"211";"201";"205";"213";"216";"206";"211";"212";"209";"205";"204";"209";"196";"191";"192";"194";"174";"171";"182";"175";"1141";"1142";"908";"944";"933";"864";"689";"737";"1114";"1099";"881";"965";"1161";"1323";"938";"874";"1337";"1310";"1074";"1116";"1293";"1350";"1203";"1205"
"Shopping, groceries, funshopping.";"Passenger car (driver)";"0.20";"0.20";"0.20";"0.20";"0.12";"0.12";"0.12";"0.12";"0.19";"0.20";"0.20";"0.20";"0.22";"0.23";"0.24";"0.23";"0.24";"0.25";"0.25";"0.26";"0.24";"0.23";"0.27";"0.24";"1.52";"1.52";"1.37";"1.41";"0.95";"0.92";"0.78";"0.84";"1.42";"1.40";"1.28";"1.42";"1.59";"1.79";"1.53";"1.32";"2.01";"2.00";"1.81";"1.88";"2.07";"2.01";"2.04";"2.12";"71";"72";"74";"73";"44";"46";"44";"44";"71";"72";"74";"73";"81";"82";"86";"84";"88";"92";"92";"94";"88";"84";"97";"86";"554";"556";"500";"513";"348";"336";"286";"307";"519";"511";"470";"517";"580";"652";"561";"483";"735";"731";"661";"685";"755";"733";"748";"774"
"Shopping, groceries, funshopping.";"Passenger car (passenger)";"0.06";"0.06";"0.06";"0.05";"0.04";"0.04";"0.04";"0.04";"0.07";"0.06";"0.06";"0.05";"0.08";"0.07";"0.07";"0.05";"0.07";"0.07";"0.06";"0.06";"0.07";"0.08";"0.06";"0.06";"0.74";"0.78";"0.52";"0.55";"0.47";"0.54";"0.37";"0.43";"0.71";"0.69";"0.54";"0.55";"0.83";"0.95";"0.56";"0.49";"0.96";"0.87";"0.55";"0.66";"0.85";"1.24";"0.78";"0.78";"23";"22";"20";"20";"16";"15";"15";"16";"24";"23";"22";"20";"28";"24";"24";"19";"27";"25";"20";"22";"27";"30";"23";"21";"269";"284";"191";"201";"173";"196";"136";"157";"258";"253";"198";"202";"303";"346";"205";"178";"352";"318";"201";"240";"311";"453";"286";"284"
"Shopping, groceries, funshopping.";"Train";"0.00";"0.00";"0.00";"0.00";"0.01";"0.01";".";"0.00";"0.00";"0.01";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"0.23";"0.22";"0.08";"0.09";"0.33";"0.19";".";"0.09";"0.22";"0.30";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"2";"2";"1";"1";"2";"2";".";"1";"2";"2";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"82";"80";"29";"33";"120";"68";".";"32";"79";"109";".";".";".";".";".";".";".";".";".";".";".";".";".";"."
"Shopping, groceries, funshopping.";"Bus/metro";"0.01";"0.01";"0.01";"0.01";"0.03";"0.03";"0.02";"0.01";"0.01";"0.01";"0.00";"0.01";".";".";".";".";".";".";".";".";".";".";".";".";"0.10";"0.09";"0.04";"0.06";"0.18";"0.18";"0.09";"0.09";"0.09";"0.08";"0.04";".";".";".";".";".";".";".";".";".";".";".";".";".";"5";"4";"2";"2";"11";"10";"6";"5";"4";"3";"2";"2";".";".";".";".";".";".";".";".";".";".";".";".";"38";"32";"15";"20";"65";"67";"33";"33";"32";"28";"13";".";".";".";".";".";".";".";".";".";".";".";".";"."
"Shopping, groceries, funshopping.";"Bike";"0.17";"0.16";"0.15";"0.15";"0.18";"0.17";"0.17";"0.15";"0.19";"0.17";"0.17";"0.16";"0.17";"0.17";"0.16";"0.16";"0.14";"0.13";"0.14";"0.12";"0.10";"0.10";"0.11";"0.11";"0.35";"0.33";"0.31";"0.30";"0.36";"0.35";"0.32";"0.31";"0.40";"0.37";"0.33";"0.32";"0.36";"0.35";"0.32";"0.31";"0.30";"0.28";"0.29";"0.25";"0.25";"0.23";"0.26";"0.25";"61";"57";"57";"53";"66";"62";"60";"56";"68";"64";"62";"57";"62";"62";"57";"60";"52";"46";"49";"45";"38";"37";"41";"40";"129";"121";"114";"109";"133";"126";"118";"113";"147";"136";"119";"118";"132";"128";"117";"114";"111";"101";"105";"92";"90";"84";"95";"92"
"Shopping, groceries, funshopping.";"Walking";"0.11";"0.10";"0.12";"0.14";"0.18";"0.17";"0.20";"0.23";"0.11";"0.10";"0.13";"0.15";"0.08";"0.08";"0.09";"0.11";"0.06";"0.06";"0.07";"0.08";"0.04";"0.04";"0.05";"0.06";"0.10";"0.09";"0.10";"0.12";"0.18";"0.15";"0.17";"0.20";"0.11";"0.10";"0.10";"0.13";"0.07";"0.07";"0.07";"0.09";"0.05";"0.05";"0.06";"0.07";".";"0.04";"0.04";"0.05";"40";"37";"45";"52";"67";"61";"74";"85";"42";"38";"46";"53";"30";"29";"32";"39";"22";"21";"26";"29";"15";"16";"18";"21";"38";"34";"37";"45";"64";"55";"64";"74";"41";"37";"38";"47";"27";"24";"26";"33";"20";"20";"22";"25";".";"13";"14";"17"
"Attending education/courses";"Total";"0.23";"0.22";"0.14";"0.14";"0.22";"0.23";"0.13";"0.14";"0.23";"0.23";"0.14";"0.15";"0.22";"0.23";"0.14";"0.14";"0.23";"0.22";"0.14";"0.14";"0.23";"0.19";"0.14";"0.13";"2.08";"2.05";"1.02";"1.17";"1.76";"1.72";"0.83";"0.92";"1.93";"2.08";"0.92";"1.17";"2.08";"2.03";"0.98";"1.22";"2.38";"2.25";"1.21";"1.39";"2.82";"2.50";"1.61";"1.26";"83";"81";"50";"52";"82";"83";"49";"51";"83";"82";"51";"56";"81";"82";"50";"53";"84";"80";"51";"52";"83";"69";"53";"46";"759";"750";"375";"426";"643";"629";"303";"337";"703";"759";"338";"426";"758";"740";"360";"447";"869";"821";"444";"507";"1031";"913";"589";"459"
"Attending education/courses";"Passenger car (driver)";"0.02";"0.01";"0.01";"0.01";"0.01";"0.01";"0.01";"0.01";"0.01";"0.02";"0.01";"0.01";"0.02";"0.01";".";".";"0.02";"0.02";"0.01";"0.01";"0.02";".";".";".";"0.39";"0.37";"0.21";"0.23";"0.19";"0.22";"0.18";"0.12";"0.33";"0.36";"0.20";"0.24";"0.46";"0.38";".";".";"0.52";"0.50";"0.24";"0.29";"0.76";".";".";".";"6";"5";"3";"3";"3";"3";"2";"2";"5";"5";"3";"3";"6";"5";".";".";"7";"6";"4";"4";"8";".";".";".";"143";"136";"77";"86";"69";"80";"64";"45";"119";"133";"73";"88";"167";"137";".";".";"192";"183";"90";"107";"279";".";".";"."
"Attending education/courses";"Passenger car (passenger)";"0.02";"0.02";"0.02";"0.02";"0.02";"0.02";"0.02";"0.01";"0.02";"0.03";"0.02";"0.02";"0.03";"0.03";"0.02";"0.02";"0.03";"0.02";"0.02";"0.02";"0.02";"0.02";"0.03";".";"0.20";"0.19";"0.12";"0.16";"0.13";"0.10";"0.08";"0.09";"0.17";"0.26";"0.11";"0.20";"0.18";"0.16";"0.14";"0.18";"0.30";"0.22";"0.15";"0.17";".";".";"0.22";".";"8";"9";"6";"6";"6";"7";"6";"5";"8";"10";"6";"7";"9";"9";"6";"6";"10";"9";"6";"6";"9";"9";"10";".";"72";"70";"46";"59";"48";"35";"29";"33";"62";"96";"41";"75";"65";"60";"52";"67";"109";"80";"55";"64";".";".";"81";"."
"Attending education/courses";"Train";"0.01";"0.02";"0.01";"0.01";"0.01";"0.02";"0.01";"0.01";"0.02";"0.02";"0.01";"0.01";"0.02";"0.02";".";".";"0.01";"0.01";".";"0.01";".";".";".";".";"0.63";"0.66";"0.22";"0.28";"0.62";"0.64";"0.18";"0.28";"0.70";"0.79";"0.23";"0.29";"0.64";"0.67";".";".";"0.56";"0.50";".";"0.24";".";".";".";".";"5";"6";"2";"3";"5";"6";"2";"3";"6";"6";"2";"3";"6";"6";".";".";"5";"5";".";"2";".";".";".";".";"230";"239";"79";"101";"227";"233";"67";"103";"256";"288";"85";"105";"232";"243";".";".";"206";"182";".";"88";".";".";".";"."
"Attending education/courses";"Bus/metro";"0.02";"0.02";"0.01";"0.01";"0.03";"0.02";"0.01";"0.01";"0.01";"0.01";"0.00";"0.01";"0.01";"0.01";".";".";"0.02";"0.01";".";"0.01";"0.02";".";".";".";"0.31";"0.29";"0.14";"0.14";"0.33";"0.30";"0.14";"0.14";"0.23";"0.21";"0.09";"0.12";"0.29";"0.28";".";".";"0.37";"0.36";".";"0.21";"0.45";".";".";".";"6";"6";"3";"3";"11";"9";"5";"5";"4";"4";"2";"2";"4";"4";".";".";"6";"5";".";"3";"6";".";".";".";"113";"107";"51";"51";"119";"108";"51";"52";"83";"77";"32";"43";"104";"102";".";".";"134";"131";".";"77";"164";".";".";"."
"Attending education/courses";"Bike";"0.12";"0.12";"0.08";"0.07";"0.11";"0.12";"0.07";"0.07";"0.12";"0.12";"0.08";"0.08";"0.11";"0.12";"0.08";"0.08";"0.13";"0.12";"0.08";"0.08";"0.12";"0.09";"0.07";"0.06";"0.43";"0.42";"0.26";"0.26";"0.35";"0.36";"0.19";"0.21";"0.40";"0.35";"0.24";"0.24";"0.40";"0.44";"0.25";"0.27";"0.53";"0.52";"0.34";"0.34";"0.61";"0.57";"0.42";"0.27";"44";"42";"27";"27";"41";"42";"24";"26";"45";"43";"29";"28";"41";"44";"28";"29";"47";"43";"28";"28";"43";"34";"27";"21";"158";"154";"97";"96";"129";"131";"70";"77";"145";"128";"87";"88";"147";"160";"91";"98";"193";"190";"125";"126";"224";"207";"153";"99"
"Attending education/courses";"Walking";"0.03";"0.03";"0.02";"0.02";"0.04";"0.04";"0.02";"0.03";"0.03";"0.03";"0.02";"0.03";"0.03";"0.03";"0.02";"0.02";"0.02";"0.03";"0.02";"0.02";"0.02";".";".";".";"0.04";"0.04";"0.02";"0.03";"0.05";"0.06";"0.03";"0.03";"0.04";"0.04";"0.02";"0.03";"0.03";"0.04";"0.02";"0.02";"0.02";"0.03";"0.02";"0.02";"0.03";".";".";".";"11";"11";"7";"8";"13";"14";"8";"9";"13";"11";"8";"9";"11";"10";"6";"8";"8";"9";"6";"6";"9";".";".";".";"14";"14";"7";"9";"20";"21";"10";"12";"15";"13";"7";"9";"12";"13";"6";"7";"9";"10";"6";"8";"10";".";".";"."
"Source: CBS"
